Time,well,value,mrna,buffer,buffer_conc,repeat,comment
0.17416666666666666,K9,566,no,Ppi,.05 mM,R1,
0.22416666666666665,K9,658,no,Ppi,.05 mM,R1,
0.27416666666666667,K9,677,no,Ppi,.05 mM,R1,
0.32416666666666666,K9,716,no,Ppi,.05 mM,R1,
0.37416666666666665,K9,780,no,Ppi,.05 mM,R1,
0.4241666666666666,K9,723,no,Ppi,.05 mM,R1,
0.4741666666666667,K9,754,no,Ppi,.05 mM,R1,
0.5241666666666667,K9,666,no,Ppi,.05 mM,R1,
0.5741666666666667,K9,621,no,Ppi,.05 mM,R1,
0.6241666666666668,K9,818,no,Ppi,.05 mM,R1,
0.6741666666666667,K9,542,no,Ppi,.05 mM,R1,
0.7241666666666667,K9,672,no,Ppi,.05 mM,R1,
0.7741666666666667,K9,863,no,Ppi,.05 mM,R1,
0.8241666666666667,K9,545,no,Ppi,.05 mM,R1,
0.8741666666666668,K9,572,no,Ppi,.05 mM,R1,
0.9241666666666668,K9,861,no,Ppi,.05 mM,R1,
0.9741666666666667,K9,790,no,Ppi,.05 mM,R1,
1.0241666666666667,K9,588,no,Ppi,.05 mM,R1,
1.0741666666666667,K9,502,no,Ppi,.05 mM,R1,
1.1241666666666668,K9,656,no,Ppi,.05 mM,R1,
1.1741666666666666,K9,708,no,Ppi,.05 mM,R1,
1.2241666666666666,K9,742,no,Ppi,.05 mM,R1,
1.2741666666666667,K9,841,no,Ppi,.05 mM,R1,
1.3241666666666667,K9,681,no,Ppi,.05 mM,R1,
1.3741666666666665,K9,484,no,Ppi,.05 mM,R1,
1.4241666666666666,K9,711,no,Ppi,.05 mM,R1,
1.4741666666666666,K9,600,no,Ppi,.05 mM,R1,
1.524166666666667,K9,712,no,Ppi,.05 mM,R1,
1.5741666666666667,K9,666,no,Ppi,.05 mM,R1,
1.6241666666666668,K9,925,no,Ppi,.05 mM,R1,
1.6741666666666668,K9,768,no,Ppi,.05 mM,R1,
1.7241666666666666,K9,640,no,Ppi,.05 mM,R1,
1.7741666666666664,K9,794,no,Ppi,.05 mM,R1,
1.8241666666666667,K9,608,no,Ppi,.05 mM,R1,
