Time,Temp C,well,value,na,na_conc,dtt_added,date,construct,system,repeat,gfp_max,mgapt_max,ratio
370.05,37.0,F2,30849,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
373.05,37.0,F2,31026,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
376.05,37.0,F2,31158,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
379.05,37.0,F2,30917,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
382.05,37.0,F2,30881,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
385.05,37.0,F2,30988,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
388.05,37.0,F2,30903,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
391.05,37.0,F2,30912,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
394.05,37.0,F2,30939,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
397.05,37.0,F2,30989,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
400.05,37.0,F2,30756,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
403.05,37.0,F2,30916,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
406.05,37.0,F2,31039,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
409.05,37.0,F2,30948,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
412.05,37.0,F2,31030,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
415.05,37.0,F2,31182,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
418.05,37.0,F2,30979,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
421.05,37.0,F2,30684,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
424.05,37.0,F2,30832,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
427.05,37.0,F2,31015,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
430.05,37.0,F2,30707,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
433.05,37.0,F2,30482,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
436.05,37.0,F2,30635,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
439.05,37.0,F2,30810,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
442.05,37.0,F2,30653,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
445.05,37.0,F2,30945,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
448.05,37.0,F2,30935,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
451.05,37.0,F2,30782,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
454.05,37.0,F2,30598,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
457.05,37.0,F2,31056,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
460.05,37.0,F2,30933,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
463.05,37.0,F2,30634,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
466.05,37.0,F2,31002,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
469.05,37.0,F2,30996,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
472.05,37.0,F2,30863,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
475.05,37.0,F2,30933,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
478.05,37.0,F2,31008,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
481.05,37.0,F2,31093,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
484.05,37.0,F2,30850,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
487.05,37.0,F2,30870,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
490.05,37.0,F2,30837,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
493.05,37.0,F2,30856,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
496.05,37.0,F2,30781,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
499.05,37.0,F2,30600,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
502.05,37.0,F2,31071,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
505.05,37.0,F2,30758,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
508.05,37.0,F2,30574,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
511.05,37.0,F2,30508,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
514.05,37.0,F2,30552,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
517.05,37.0,F2,30392,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
520.05,37.0,F2,30401,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
523.05,37.0,F2,30497,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
526.05,37.0,F2,30412,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
529.05,37.0,F2,30592,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
532.05,37.0,F2,30564,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
535.05,37.0,F2,31001,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
538.05,37.0,F2,30983,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
541.05,37.0,F2,30570,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
544.05,37.0,F2,30636,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
547.05,37.0,F2,30594,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
550.05,37.0,F2,30879,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
553.05,37.0,F2,31054,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
556.05,37.0,F2,30736,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
559.05,37.0,F2,30715,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
562.05,37.0,F2,30677,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
565.05,37.0,F2,30540,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
568.05,37.0,F2,30554,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
